INFO:root:Scene Object change detection Job Started...
DEBUG:root:Monitering started...
INFO:root:15_37_51_15_01_2021: Change detected
INFO:root:15_37_51_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_52_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_53_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_54_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_55_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_56_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_58_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_37_59_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_00_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_01_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_02_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_03_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_04_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
INFO:root:15_38_05_15_01_2021: Change detected
